

Generation: 1

| chromosome                                                                                                                                                                                                                                             |   id | parents      |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  139 | (136, 135) |
| [0.0, -7.674999302153698e-13, -2.482783675546718e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |  148 | (143, 122) |
| [0.0, -7.593409857199245e-13, -2.4901668957325696e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.5606478682064184e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  154 | (152, 150) |
| [0.0, -7.645608303108912e-13, -2.482783675546718e-13, 3.281202155586364e-11, 1.0739528386026637e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |  155 | (148, 151) |
| [0.0, -7.645608303108912e-13, -2.482783675546718e-13, 3.281202155586364e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |  156 | (151, 152) |
| [0.0, -7.645608303108912e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.5606478682064184e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  157 | (139, 150) |
| [0.0, -7.674999302153698e-13, -2.482783675546718e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |  158 | (148, 148) |
| [0.0, -7.645608303108912e-13, -2.3871923093622544e-13, 3.3548402866077487e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |  159 | (149, 149) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  160 | (139, 139) |
| [0.0, -7.645608303108912e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.5606478682064184e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  161 | (150, 150) |

Generation: 20

| chromosome                                                                                                                                                                                                                                              |   id | parents    |
|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|------------|
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9830139466440947e-05, -2.0202088064864084e-06, -1.9606371292097038e-08, 9.827671833722739e-10] |  160 | (139, 139) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |  139 | (136, 135) |
| [0.0, -7.645608303108912e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.5606478682064184e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |  162 | (155, 157) |
| [0.0, -7.634911464962285e-13, -2.482783675546718e-13, 3.281202155586364e-11, 1.0739528386026637e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]    |  163 | (156, 155) |
| [0.0, -7.645608303108912e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.5606478682064184e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |  164 | (139, 157) |
| [0.0, -7.634911464962285e-13, -2.3871923093622544e-13, 3.281202155586364e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |  165 | (156, 160) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |  166 | (139, 139) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.3548402866077487e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  167 | (159, 139) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.9606371292097038e-08, 9.827671833722739e-10] |  168 | (159, 160) |
| [0.0, -7.645608303108912e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.5606478682064184e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |  169 | (157, 157) |

Generation: 21

| chromosome                                                                                                                                                                                                                                              |   id | parents    |
|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|------------|
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |  139 | (136, 135) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |  166 | (139, 139) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |  170 | (166, 166) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.9606371292097038e-08, 9.827671833722739e-10] |  171 | (139, 168) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.281202155586364e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |  172 | (165, 168) |
| [0.0, -7.645608303108912e-13, -2.3871923093622544e-13, 3.4224718656868295e-11, 1.1689706760071394e-10, -1.5606478682064184e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  173 | (166, 164) |
| [0.0, -7.705729300166825e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |  174 | (167, 166) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.9606371292097038e-08, 9.827671833722739e-10] |  175 | (168, 166) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |  176 | (139, 166) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |  177 | (166, 164) |

Generation: 22

| chromosome                                                                                                                                                                                                                                            |   id | parents    |
|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|------------|
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.2516051886793248e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |  170 | (166, 166) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.234368417362416e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  166 | (139, 139) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.439211676611888e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |  178 | (176, 177) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |  179 | (176, 166) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.234368417362416e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  180 | (166, 176) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |  181 | (176, 170) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.234368417362416e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  182 | (166, 166) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.439211676611888e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |  183 | (176, 177) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |  184 | (177, 176) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |  185 | (139, 166) |

Generation: 23

| chromosome                                                                                                                                                                                                                                            |   id | parents    |
|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|------------|
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.2516051886793248e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |  170 | (166, 166) |
| [0.0, -7.615812374555063e-13, -2.423146548977782e-13, 3.388663427749683e-11, 1.234368417362416e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |  180 | (166, 176) |
| [0.0, -7.615812374555063e-13, -2.360130119730909e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  186 | (183, 184) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.433961164891075e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |  187 | (181, 184) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.433961164891075e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |  188 | (181, 181) |
| [0.0, -7.615812374555063e-13, -2.360130119730909e-13, 3.439211676611888e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  189 | (180, 183) |
| [0.0, -7.615812374555063e-13, -2.423146548977782e-13, 3.439211676611888e-11, 1.234368417362416e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |  190 | (180, 183) |
| [0.0, -7.615812374555063e-13, -2.360130119730909e-13, 3.439211676611888e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  191 | (183, 178) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |  192 | (181, 170) |
| [0.0, -7.615812374555063e-13, -2.423146548977782e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  193 | (180, 183) |

Generation: 24

| chromosome                                                                                                                                                                                                                                            |   id | parents    |
|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|------------|
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.2516051886793248e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |  170 | (166, 166) |
| [0.0, -7.615812374555063e-13, -2.360130119730909e-13, 3.439211676611888e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  191 | (183, 178) |
| [0.0, -7.615812374555063e-13, -2.360130119730909e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  194 | (186, 193) |
| [0.0, -7.636700543288449e-13, -2.3871923093622544e-13, 3.433961164891075e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |  195 | (187, 188) |
| [0.0, -7.615812374555063e-13, -2.4277683935817375e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |  196 | (186, 193) |
| [0.0, -7.615812374555063e-13, -2.360130119730909e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  197 | (186, 191) |
| [0.0, -7.636700543288449e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.2516051886793248e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |  198 | (170, 187) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.2516051886793248e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |  199 | (170, 170) |
| [0.0, -7.615812374555063e-13, -2.4277683935817375e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |  200 | (193, 193) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.439211676611888e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |  201 | (191, 188) |

Generation: 25

| chromosome                                                                                                                                                                                                                                            |   id | parents    |
|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|------------|
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.2516051886793248e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |  199 | (170, 170) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.439211676611888e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |  201 | (191, 188) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.439211676611888e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |  202 | (199, 201) |
| [0.0, -7.615812374555063e-13, -2.360130119730909e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  203 | (194, 201) |
| [0.0, -7.615812374555063e-13, -2.360130119730909e-13, 3.439211676611888e-11, 1.2516051886793248e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  204 | (199, 191) |
| [0.0, -7.615812374555063e-13, -2.360130119730909e-13, 3.439211676611888e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  205 | (191, 201) |
| [0.0, -7.615812374555063e-13, -2.360130119730909e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  206 | (194, 196) |
| [0.0, -7.615812374555063e-13, -2.360130119730909e-13, 3.439211676611888e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  207 | (191, 201) |
| [0.0, -7.615812374555063e-13, -2.4277683935817375e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |  208 | (196, 191) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.439211676611888e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |  209 | (199, 201) |

Generation: 26

| chromosome                                                                                                                                                                                                                                            |   id | parents    |
|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|------------|
| [0.0, -7.615812374555063e-13, -2.360130119730909e-13, 3.439211676611888e-11, 1.2516051886793248e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  204 | (199, 191) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.439211676611888e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |  201 | (191, 188) |
| [0.0, -7.615812374555063e-13, -2.360130119730909e-13, 3.439211676611888e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.942728555648962e-10]  |  210 | (205, 202) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |  211 | (202, 199) |
| [0.0, -7.615812374555063e-13, -2.360130119730909e-13, 3.439211676611888e-11, 1.2516051886793248e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  212 | (199, 204) |
| [0.0, -7.615812374555063e-13, -2.360130119730909e-13, 3.439211676611888e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0018248623844087e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  213 | (204, 205) |
| [0.0, -7.642735423362469e-13, -2.2606469309603952e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 3.043862089956222e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  214 | (206, 206) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.439211676611888e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |  215 | (201, 199) |
| [0.0, -7.615812374555063e-13, -2.360130119730909e-13, 3.439211676611888e-11, 1.2516051886793248e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  216 | (204, 204) |
| [0.0, -7.615812374555063e-13, -2.360130119730909e-13, 3.439211676611888e-11, 1.2516051886793248e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  217 | (204, 201) |

Generation: 27

| chromosome                                                                                                                                                                                                                                            |   id | parents    |
|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|------------|
| [0.0, -7.615812374555063e-13, -2.360130119730909e-13, 3.439211676611888e-11, 1.2516051886793248e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  212 | (199, 204) |
| [0.0, -7.541174354662877e-13, -2.360130119730909e-13, 3.439211676611888e-11, 1.2516051886793248e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  216 | (204, 204) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0046881213438783e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |  218 | (211, 212) |
| [0.0, -7.541174354662877e-13, -2.360130119730909e-13, 3.388663427749683e-11, 1.2516051886793248e-10, -1.4627993286033229e-15, 1.0046881213438783e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  219 | (216, 211) |
| [0.0, -7.615812374555063e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.2516051886793248e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |  220 | (216, 211) |
| [0.0, -7.615812374555063e-13, -2.360130119730909e-13, 3.439211676611888e-11, 1.2516051886793248e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  221 | (212, 212) |
| [0.0, -7.541174354662877e-13, -2.3871923093622544e-13, 3.388663427749683e-11, 1.2516051886793248e-10, -1.4627993286033229e-15, 1.0046881213438783e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |  222 | (211, 216) |
| [0.0, -7.615812374555063e-13, -2.360130119730909e-13, 3.439211676611888e-11, 1.2516051886793248e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  223 | (217, 212) |
| [0.0, -7.541174354662877e-13, -2.360130119730909e-13, 3.388663427749683e-11, 1.1689706760071394e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  224 | (216, 211) |
| [0.0, -7.615812374555063e-13, -2.360130119730909e-13, 3.439211676611888e-11, 1.2516051886793248e-10, -1.4627993286033229e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |  225 | (217, 216) |

Generation: 28

| chromosome                                                                                                                                                                                                                                            |   id | parents    |
|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|------------|
