

Generation: 0

| chromosome                                                                                                                                                                                                                                               | train   | val   |     fitness |   id | parents      |
| [0.0, -7.981225844542734e-13, -2.2795086667069235e-13, 2.884624674299951e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.898761157166797e-16, 2.978387043266344e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]   |   15 | (3, 0)       | 1.34435e+11 | 1.54208e+11 | 1.44322e+11 |
| [0.0, -7.881938865396971e-13, -2.263633918000225e-13, 2.9909262920477885e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.777527264986192e-16, 3.0299900425141738e-05, -2.0830707949373e-06, -1.847010576944937e-08, 1.0114536553207675e-09]     |   10 | (2, 2)       | 2.08472e+11 | 1.00917e+12 | 6.08821e+11 |
| [0.0, -7.981225844542734e-13, -2.228850025169372e-13, 2.952439272104154e-11, -1.1357833946519518e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.210147524383288e-06, -1.847010576944937e-08, 1.0114536553207675e-09]    |   14 | (4, 1)       | 6.42976e+11 | 6.11774e+11 | 6.27375e+11 |

Generation: 2

| chromosome                                                                                                                                                                                                                                                |   id | parents      |       train |         val |     fitness |
|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|--------------|-------------|-------------|-------------|
| [0.0, -7.881938865396971e-13, -2.263633918000225e-13, 2.952439272104154e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]    |    0 | (None, None) | 9.92876e+10 | 1.58656e+11 | 1.28972e+11 |
| [0.0, -7.881938865396971e-13, -2.243517694219807e-13, 2.9181493833882984e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]   |   19 | (0, 12)      | 9.92876e+10 | 1.58656e+11 | 1.28972e+11 |
| [0.0, -8.082744003920918e-13, -2.3122247137822454e-13, 2.9181493833882984e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]  |   21 | (12, 16)     | 9.92876e+10 | 1.58656e+11 | 1.28972e+11 |
| [0.0, -7.981225844542734e-13, -2.263633918000225e-13, 2.9181493833882984e-11, -1.1357833946519518e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]   |   18 | (12, 1)      | 9.92876e+10 | 1.58656e+11 | 1.28972e+11 |
| [0.0, -8.082744003920918e-13, -2.3122247137822454e-13, 2.9181493833882984e-11, -1.1357833946519518e-10, -1.5223629717419581e-15, 9.92290813387891e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]   |   22 | (12, 16)     | 9.92876e+10 | 1.58656e+11 | 1.28972e+11 |
