Generation: 0

| [0.0, -8.117017949775789e-13, -2.3716255658413137e-13, 3.174579276866615e-11, -4.8659226167833456e-11, -1.7059352688987156e-15, 1.0047103318967415e-15, 2.9371672990089482e-05, -2.1485496217728127e-06, -1.9106528142640278e-08, 1.0182119995533803e-09] |   16 | (5, 4)       | 3.78173e+11 | 3.32209e+11 | 3.55191e+11 |
| [0.0, -8.117017949775789e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -4.8659226167833456e-11, -1.6110021463031745e-15, 1.0047103318967415e-15, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0858831158993185e-09] |   14 | (0, 4)       | 1.6079e+12  | 4.62122e+12 | 3.11456e+12 |
| [0.0, -8.117017949775789e-13, -2.3716255658413137e-13, 3.16010575953813e-11, -6.218974361073712e-11, -1.6110021463031745e-15, 1.0047103318967415e-15, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 9.500833136073602e-10]    |   15 | (2, 4)       | 2.75355e+12 | 3.62829e+12 | 3.19092e+12 |

Generation: 2

| chromosome                                                                                                                                                                                                                                                 |   id | parents      |       train |         val |     fitness |
|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|--------------|-------------|-------------|-------------|
| [0.0, -8.117017949775789e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -4.100909791905472e-11, -1.6110021463031745e-15, 9.936480808845139e-16, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09]    |   24 | (1, 0)       | 8.64346e+10 | 1.67949e+11 | 1.27192e+11 |
| [0.0, -8.117017949775789e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -6.218974361073712e-11, -1.6110021463031745e-15, 1.0027611381132993e-15, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09]   |   20 | (0, 11)      | 8.64346e+10 | 1.67949e+11 | 1.27192e+11 |
| [0.0, -8.117017949775789e-13, -2.293738389416948e-13, 3.16010575953813e-11, -6.218974361073712e-11, -1.6110021463031745e-15, 1.0047103318967415e-15, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09]     |   18 | (11, 1)      | 8.64346e+10 | 1.67949e+11 | 1.27192e+11 |
| [0.0, -8.117017949775789e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -4.8659226167833456e-11, -1.6453782564528268e-15, 1.0027611381132993e-15, 2.9898633483221565e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09]  |   23 | (10, 10)     | 8.56052e+10 | 1.6949e+11  | 1.27548e+11 |
| [0.0, -8.117017949775789e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -4.8659226167833456e-11, -1.6453782564528268e-15, 1.0027611381132993e-15, 2.9898633483221565e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09]  |   25 | (1, 10)      | 8.56052e+10 | 1.6949e+11  | 1.27548e+11 |
| [0.0, -8.117017949775789e-13, -2.4063105977284506e-13, 3.1615596808861697e-11, -4.8659226167833456e-11, -1.6110021463031745e-15, 1.0047103318967415e-15, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.8868064606874633e-08, 1.0182119995533803e-09] |   19 | (13, 11)     | 1.73575e+11 | 1.68417e+11 | 1.70996e+11 |
| [0.0, -8.117017949775789e-13, -2.3716255658413137e-13, 3.17597798313281e-11, -4.8659226167833456e-11, -1.6110021463031745e-15, 1.0047103318967415e-15, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.7991230987654852e-08, 1.0182119995533803e-09]   |   13 | (1, 2)       | 6.49026e+10 | 3.20161e+11 | 1.92532e+11 |
| [0.0, -8.117017949775789e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -5.774034501516662e-11, -1.5691288063255432e-15, 1.0027611381132993e-15, 2.9898633483221565e-05, -2.1485496217728127e-06, -1.7800261747493878e-08, 1.0182119995533803e-09]   |   22 | (10, 10)     | 9.66152e+10 | 4.95244e+11 | 2.9593e+11  |
| [0.0, -8.117017949775789e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -4.8659226167833456e-11, -1.6036001060851141e-15, 1.0027611381132993e-15, 2.9756959470705053e-05, -2.0720326145578645e-06, -1.8462404602296217e-08, 1.0182119995533803e-09]  |    0 | (None, None) | 2.90861e+11 | 1.32891e+12 | 8.09886e+11 |
| [0.0, -8.117017949775789e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -4.8659226167833456e-11, -1.6453782564528268e-15, 1.0027611381132993e-15, 2.9898633483221565e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.052057886733184e-09]   |   21 | (10, 10)     | 3.36732e+11 | 1.45023e+12 | 8.93481e+11 |

Generation: 3

| chromosome                                                                                                                                                                                                                                                |   id | parents   |       train |         val |     fitness |
|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|-----------|-------------|-------------|-------------|
| [0.0, -8.117017949775789e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -4.100909791905472e-11, -1.6110021463031745e-15, 9.936480808845139e-16, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09]   |   24 | (1, 0)    | 8.64346e+10 | 1.67949e+11 | 1.27192e+11 |
| [0.0, -8.051139201815106e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -4.8659226167833456e-11, -1.6110021463031745e-15, 1.0047103318967415e-15, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09] |   29 | (25, 18)  | 8.64346e+10 | 1.67949e+11 | 1.27192e+11 |
| [0.0, -8.117017949775789e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -6.218974361073712e-11, -1.6110021463031745e-15, 9.936480808845139e-16, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09]   |   33 | (20, 24)  | 8.64346e+10 | 1.67949e+11 | 1.27192e+11 |
| [0.0, -8.117017949775789e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -4.8659226167833456e-11, -1.6453782564528268e-15, 1.0127129860669386e-15, 2.9898633483221565e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09] |   26 | (23, 25)  | 8.56052e+10 | 1.6949e+11  | 1.27548e+11 |
| [0.0, -8.117017949775789e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -4.8659226167833456e-11, -1.6453782564528268e-15, 1.0027611381132993e-15, 2.9898633483221565e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09] |   30 | (23, 25)  | 8.56052e+10 | 1.6949e+11  | 1.27548e+11 |
| [0.0, -8.111903153117701e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -4.8659226167833456e-11, -1.6453782564528268e-15, 1.0027611381132993e-15, 2.9898633483221565e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09] |   32 | (23, 25)  | 8.56052e+10 | 1.6949e+11  | 1.27548e+11 |
| [0.0, -8.117017949775789e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -4.8659226167833456e-11, -1.6453782564528268e-15, 1.0027611381132993e-15, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09] |   28 | (25, 20)  | 9.3256e+10  | 1.6222e+11  | 1.27738e+11 |
| [0.0, -8.117017949775789e-13, -2.293738389416948e-13, 3.16010575953813e-11, -6.218974361073712e-11, -1.6453782564528268e-15, 1.0027611381132993e-15, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09]    |   27 | (25, 18)  | 9.3256e+10  | 1.6222e+11  | 1.27738e+11 |
| [0.0, -8.117017949775789e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -6.218974361073712e-11, -1.647040035190415e-15, 1.0027611381132993e-15, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09]   |   20 | (0, 11)   | 9.36077e+10 | 1.61965e+11 | 1.27786e+11 |
| [0.0, -8.117017949775789e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -6.218974361073712e-11, -1.6110021463031745e-15, 1.0047103318967415e-15, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.8868064606874633e-08, 1.0182119995533803e-09]  |   31 | (19, 20)  | 1.73575e+11 | 1.68417e+11 | 1.70996e+11 |

Generation: 4

| chromosome                                                                                                                                                                                                                                                |   id | parents   |       train |         val |     fitness |
|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|-----------|-------------|-------------|-------------|
| [0.0, -8.117017949775789e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -4.100909791905472e-11, -1.6110021463031745e-15, 9.936480808845139e-16, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09]   |   40 | (24, 24)  | 8.64346e+10 | 1.67949e+11 | 1.27192e+11 |
| [0.0, -8.051139201815106e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -4.8659226167833456e-11, -1.6110021463031745e-15, 1.0047103318967415e-15, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09] |   35 | (24, 29)  | 8.64346e+10 | 1.67949e+11 | 1.27192e+11 |
| [0.0, -8.117017949775789e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -5.7382156205301424e-11, -1.6110021463031745e-15, 9.936480808845139e-16, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09]  |   38 | (24, 33)  | 8.64346e+10 | 1.67949e+11 | 1.27192e+11 |
| [0.0, -8.051139201815106e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -4.8659226167833456e-11, -1.6453782564528268e-15, 1.0127129860669386e-15, 2.9898633483221565e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09] |   37 | (29, 26)  | 8.56052e+10 | 1.6949e+11  | 1.27548e+11 |
| [0.0, -8.205812360025269e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -4.100909791905472e-11, -1.6453782564528268e-15, 9.936480808845139e-16, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09]   |   39 | (26, 24)  | 9.3256e+10  | 1.6222e+11  | 1.27738e+11 |
| [0.0, -8.051139201815106e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -4.8659226167833456e-11, -1.6494290555232193e-15, 1.0047103318967415e-15, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09] |   29 | (25, 18)  | 9.41169e+10 | 1.61602e+11 | 1.2786e+11  |
| [0.0, -8.111903153117701e-13, -2.3924957860965804e-13, 3.204880752384239e-11, -4.8659226167833456e-11, -1.6110021463031745e-15, 1.0035582849199513e-15, 2.9898633483221565e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09] |   34 | (24, 32)  | 7.974e+10   | 1.76557e+11 | 1.28148e+11 |
| [0.0, -8.111903153117701e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -4.8659226167833456e-11, -1.6453782564528268e-15, 1.0027611381132993e-15, 2.9898633483221565e-05, -2.1485496217728127e-06, -1.8935191050612212e-08, 1.0182119995533803e-09] |   41 | (30, 32)  | 1.89977e+11 | 1.70986e+11 | 1.80482e+11 |
| [0.0, -8.117017949775789e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -4.8659226167833456e-11, -1.7122044976214835e-15, 1.0027611381132993e-15, 2.9898633483221565e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 9.84297559166142e-10]   |   36 | (32, 30)  | 9.44099e+11 | 9.20791e+11 | 9.32445e+11 |
| [0.0, -8.117017949775789e-13, -2.4575677226668815e-13, 3.174579276866615e-11, -4.100909791905472e-11, -1.6110021463031745e-15, 9.936480808845139e-16, 2.99041942122185e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.112632349471986e-09]      |   24 | (1, 0)    | 3.45619e+12 | 8.77284e+12 | 6.11452e+12 |

Generation: 5

| chromosome                                                                                                                                                                                                                                                |   id | parents   |       train |         val |     fitness |
|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|-----------|-------------|-------------|-------------|
| [0.0, -8.117017949775789e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -4.100909791905472e-11, -1.6110021463031745e-15, 9.90123925033008e-16, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09]    |   40 | (24, 24)  | 8.64346e+10 | 1.67949e+11 | 1.27192e+11 |
| [0.0, -8.051139201815106e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -4.8659226167833456e-11, -1.6494290555232193e-15, 1.0047103318967415e-15, 2.983903606444162e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09]  |   49 | (29, 37)  | 8.94444e+10 | 1.65382e+11 | 1.27413e+11 |
| [0.0, -8.051139201815106e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -4.8659226167833456e-11, -1.6453782564528268e-15, 9.871830143420906e-16, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09]  |   46 | (37, 39)  | 9.3256e+10  | 1.6222e+11  | 1.27738e+11 |
| [0.0, -8.051139201815106e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -4.8659226167833456e-11, -1.6494290555232193e-15, 1.0047103318967415e-15, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09] |   45 | (29, 29)  | 9.41169e+10 | 1.61602e+11 | 1.2786e+11  |
| [0.0, -8.051139201815106e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -5.7382156205301424e-11, -1.6110021463031745e-15, 9.936480808845139e-16, 2.9898633483221565e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09]  |   43 | (38, 37)  | 7.974e+10   | 1.76557e+11 | 1.28148e+11 |
| [0.0, -8.117017949775789e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -4.100909791905472e-11, -1.6752561054985615e-15, 9.936480808845139e-16, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09]   |   42 | (40, 39)  | 9.98887e+10 | 1.57956e+11 | 1.28922e+11 |
